,datetime,start_location,end_location,flight_distance (ft),battery %
0,2022-07-27 00:00:05.000000,"(39.644003944444435, -82.81543447222222)","(39.644003944444435, -82.81543447222222)",0,100%
1,2022-07-27 00:00:15.000412,"(39.644003944444435, -82.81543447222222)","(39.64389361111111, -82.81460366666667)",237.3927,99%
2,2022-07-27 00:00:25.001125,"(39.64389361111111, -82.81460366666667)","(39.64389438888889, -82.81606275)",410.8976,97%
3,2022-07-27 00:00:35.001532,"(39.64389438888889, -82.81606275)","(39.64389405555556, -82.81523008333333)",234.4902,96%
4,2022-07-27 00:00:45.001798,"(39.64389405555556, -82.81523008333333)","(39.644001583333335, -82.81470494444444)",152.9852,95%
5,2022-07-27 00:00:55.002461,"(39.644001583333335, -82.81470494444444)","(39.64400283333333, -82.81606083333331)",381.8363,93%
6,2022-07-27 00:01:05.003528,"(39.64400283333333, -82.81606083333331)","(39.64400288888889, -82.81824413888889)",614.8473,91%
7,2022-07-27 00:01:15.004698,"(39.64400288888889, -82.81824413888889)","(39.643895388888886, -82.81585563888889)",673.7721,89%
8,2022-07-27 00:01:25.006072,"(39.643895388888886, -82.81585563888889)","(39.643896722222216, -82.81866527777777)",791.2323,87%
9,2022-07-27 00:01:35.006195,"(39.643896722222216, -82.81866527777777)","(39.644001222222215, -82.81845338888887)",70.7784,86%
10,2022-07-27 00:01:45.007570,"(39.644001222222215, -82.81845338888887)","(39.64400480555555, -82.81564141666667)",791.8891,84%
11,2022-07-27 00:01:55.008179,"(39.64400480555555, -82.81564141666667)","(39.64400411111111, -82.81439602777778)",350.7178,83%
12,2022-07-27 00:02:05.009706,"(39.64400411111111, -82.81439602777778)","(39.644004083333336, -82.81751833333333)",879.2819,81%
13,2022-07-27 00:02:15.010070,"(39.644004083333336, -82.81751833333333)","(39.64389441666667, -82.81825022222222)",209.9452,79%
14,2022-07-27 00:02:25.011911,"(39.64389441666667, -82.81825022222222)","(39.645289, -82.81494519444446)",1060.3402,77%
15,2022-07-27 00:02:35.013069,"(39.645289, -82.81494519444446)","(39.643893972222216, -82.81647980555556)",667.076,75%
16,2022-07-27 00:02:45.013069,"(39.643893972222216, -82.81647980555556)","(39.643893972222216, -82.81647980555556)",0.0,74%
17,2022-07-27 00:02:55.013434,"(39.643893972222216, -82.81647980555556)","(39.644004527777774, -82.81574769444444)",210.0685,73%
18,2022-07-27 00:03:05.014300,"(39.644004527777774, -82.81574769444444)","(39.644004083333336, -82.81751833333333)",498.635,71%
19,2022-07-27 00:03:15.015267,"(39.644004083333336, -82.81751833333333)","(39.64400466666667, -82.8155408611111)",556.882,69%
20,2022-07-27 00:03:25.016085,"(39.64400466666667, -82.8155408611111)","(39.64389333333333, -82.81720805555554)",471.2523,68%
21,2022-07-27 00:03:35.016645,"(39.64389333333333, -82.81720805555554)","(39.64389472222222, -82.81835358333333)",322.5965,66%
22,2022-07-27 00:03:45.017161,"(39.64389472222222, -82.81835358333333)","(39.64400277777778, -82.81730827777777)",296.9917,65%
23,2022-07-27 00:03:55.017618,"(39.64400277777778, -82.81730827777777)","(39.64400380555556, -82.81637380555556)",263.1598,64%
24,2022-07-27 00:04:05.018031,"(39.64400380555556, -82.81637380555556)","(39.64389311111111, -82.81554125)",237.9007,62%
25,2022-07-27 00:04:15.018396,"(39.64389311111111, -82.81554125)","(39.64400325, -82.81480786111109)",210.3927,61%
26,2022-07-27 00:04:25.018481,"(39.64400325, -82.81480786111109)","(39.643892305555546, -82.81470980555554)",48.9463,60%
27,2022-07-27 00:04:35.019194,"(39.643892305555546, -82.81470980555554)","(39.64389372222223, -82.81616819444444)",410.7023,58%
28,2022-07-27 00:04:45.020059,"(39.64389372222223, -82.81616819444444)","(39.643893777777784, -82.81439897222222)",498.2368,57%
29,2022-07-27 00:04:55.022145,"(39.643893777777784, -82.81439897222222)","(39.643896722222216, -82.81866527777777)",1201.4496,54%
30,2022-07-27 00:05:05.023525,"(39.643896722222216, -82.81866527777777)","(39.64400388888889, -82.81584641666666)",794.7879,52%
31,2022-07-27 00:05:15.023885,"(39.64400388888889, -82.81584641666666)","(39.643894611111115, -82.81512344444444)",207.4533,51%
32,2022-07-27 00:05:25.024087,"(39.643894611111115, -82.81512344444444)","(39.643892305555546, -82.81470980555554)",116.4893,50%
33,2022-07-27 00:05:35.024188,"(39.643892305555546, -82.81470980555554)","(39.643894194444435, -82.81450241666667)",58.4076,49%
34,2022-07-27 00:05:45.025155,"(39.643894194444435, -82.81450241666667)","(39.643893972222216, -82.81647980555556)",556.8594,47%
